Education,Skill no. 1,Skill no. 2,Skill no. 3,Interest,Location,Internship Duration,Internship
M.Tech,SQL,Python,Energy Audit,Renewable Energy,Maharashtra,3 months,Solar PV Intern
B.Sc,UI/UX,Remote Sensing,Excel,Public Data,West Bengal,3 months,e-Gov Data Intern
M.Tech,Energy Audit,,IoT Basics,Automation & IoT,Haryana,3 months,IoT Intern
B.Pharm,Power BI,SQL,Excel,Public Data,Madhya Pradesh,3 months,e-Gov Data Intern
B.Tech CSE,IoT Basics,Remote Sensing,Data Analysis,Smart Education,Madhya Pradesh,3 months,Learning Platform Intern
MCA,Embedded Systems,Power BI,Data Analysis,Smart Education,Maharashtra,4 months,Learning Platform Intern
B.Sc,UI/UX,Remote Sensing,Data Analysis,Healthcare,Gujarat,3 months,Biostatistics Intern
B.Pharm,Power BI,Biostatistics,Excel,Public Data,Delhi,5 months,Open Data Portal Intern
M.Sc,APIs,,Remote Sensing,Smart Agriculture,Assam,6 months,Agri Data Intern
Diploma,UI/UX,Power BI,Excel,Renewable Energy,Tamil Nadu,3 months,Energy Audit Intern
B.Tech CSE,Energy Audit,APIs,Embedded Systems,Automation & IoT,Rajasthan,3 months,IoT Intern
BBA (1st Year),GIS/QGIS,Remote Sensing,Power BI,Public Data,Uttar Pradesh,4 months,e-Gov Data Intern
M.Sc,GIS/QGIS,Python,IoT Basics,Smart Agriculture,Kerala,4 months,Remote Sensing Intern
MBA,Data Analysis,APIs,Python,Smart Education,Delhi,4 months,Learning Platform Intern
BBA (1st Year),Python,GIS/QGIS,UI/UX,Smart Education,Odisha,5 months,Learning Platform Intern
B.Pharm,UI/UX,Embedded Systems,Data Analysis,Healthcare,Rajasthan,4 months,Biostatistics Intern
B.Sc,APIs,IoT Basics,React,Automation & IoT,Rajasthan,5 months,Automation QA Intern
Diploma,React,Python,Excel,Healthcare,Kerala,3 months,Biostatistics Intern
BCA,IoT Basics,Data Analysis,Embedded Systems,Automation & IoT,Rajasthan,5 months,Automation QA Intern
BCA,Python,SQL,GIS/QGIS,Smart Agriculture,Assam,4 months,Agri Data Intern
M.Sc,SQL,Energy Audit,Data Analysis,Healthcare,Haryana,3 months,Lab QA Intern
B.Com,Energy Audit,Biostatistics,,Healthcare,Delhi,4 months,Lab QA Intern
B.Pharm,SQL,UI/UX,Data Analysis,Smart Education,Karnataka,4 months,Learning Platform Intern
BCA,GIS/QGIS,React,Biostatistics,Healthcare,West Bengal,5 months,Biostatistics Intern
B.Sc Env,UI/UX,Embedded Systems,,Public Data,West Bengal,3 months,Open Data Portal Intern
B.Tech CSE,GIS/QGIS,Data Analysis,Python,Smart Education,Tamil Nadu,3 months,Learning Platform Intern
BBA (Final Year),SQL,Energy Audit,,Public Data,Rajasthan,6 months,Open Data Portal Intern
B.Pharm,APIs,,Solar PV,Renewable Energy,Tamil Nadu,5 months,Energy Audit Intern
BBA (1st Year),Biostatistics,,GIS/QGIS,Smart Agriculture,Uttar Pradesh,6 months,Agri Data Intern
B.Tech IT,SQL,,React,Automation & IoT,West Bengal,4 months,IoT Intern
B.Tech CSE,APIs,Embedded Systems,Python,Smart Education,Kerala,4 months,Learning Platform Intern
Diploma,Biostatistics,SQL,Remote Sensing,Smart Agriculture,Gujarat,6 months,Agri Data Intern
B.Pharm,Energy Audit,,GIS/QGIS,Smart Agriculture,Haryana,3 months,Remote Sensing Intern
M.Sc,GIS/QGIS,Power BI,SQL,Public Data,Tamil Nadu,3 months,e-Gov Data Intern
B.Tech CSE,Excel,GIS/QGIS,SQL,Public Data,Kerala,6 months,Open Data Portal Intern
Diploma,Biostatistics,Energy Audit,Embedded Systems,Automation & IoT,Uttar Pradesh,3 months,IoT Intern
B.Sc,GIS/QGIS,Biostatistics,Solar PV,Renewable Energy,Madhya Pradesh,4 months,Solar PV Intern
BBA (1st Year),UI/UX,Remote Sensing,Excel,Public Data,Haryana,6 months,Open Data Portal Intern
B.Tech IT,Embedded Systems,Excel,Solar PV,Renewable Energy,Maharashtra,3 months,Solar PV Intern
B.Sc Env,Data Analysis,APIs,Embedded Systems,Automation & IoT,West Bengal,5 months,IoT Intern
B.Sc,Data Analysis,IoT Basics,Biostatistics,Healthcare,Kerala,5 months,Biostatistics Intern
B.Com,React,Energy Audit,Embedded Systems,Automation & IoT,Bihar,6 months,IoT Intern
B.Sc,Remote Sensing,Energy Audit,Embedded Systems,Automation & IoT,Uttar Pradesh,6 months,IoT Intern
B.Sc Env,Embedded Systems,Biostatistics,Power BI,Public Data,Uttar Pradesh,3 months,Open Data Portal Intern
B.Com,Python,Data Analysis,Energy Audit,Renewable Energy,Uttar Pradesh,6 months,Energy Audit Intern
BCA,Python,React,Embedded Systems,Automation & IoT,Uttar Pradesh,6 months,IoT Intern
M.Tech,Python,,,Smart Education,Maharashtra,6 months,EdTech Data Intern
B.Tech CSE,IoT Basics,Excel,SQL,Public Data,Delhi,4 months,Open Data Portal Intern
BCA,SQL,Python,,Healthcare,Assam,6 months,Biostatistics Intern
B.Tech CSE,Power BI,Data Analysis,Python,Smart Education,Odisha,4 months,EdTech Data Intern
M.Sc,GIS/QGIS,Excel,UI/UX,Smart Education,Delhi,3 months,EdTech Data Intern
B.Sc Env,React,Embedded Systems,IoT Basics,Automation & IoT,Assam,3 months,IoT Intern
B.Sc,Biostatistics,Embedded Systems,,Renewable Energy,Delhi,3 months,Energy Audit Intern
M.Tech,SQL,IoT Basics,GIS/QGIS,Smart Agriculture,Tamil Nadu,3 months,Agri Data Intern
B.Sc Env,UI/UX,Biostatistics,Remote Sensing,Smart Agriculture,Maharashtra,5 months,Remote Sensing Intern
M.Sc,SQL,Python,IoT Basics,Automation & IoT,Bihar,5 months,Automation QA Intern
MBA,UI/UX,,Excel,Renewable Energy,Karnataka,6 months,Solar PV Intern
B.Com,Python,,,Renewable Energy,Haryana,3 months,Solar PV Intern
M.Tech,APIs,,React,Automation & IoT,Haryana,5 months,Automation QA Intern
M.Tech,Power BI,Biostatistics,Python,Smart Education,Haryana,3 months,EdTech Data Intern
BBA (1st Year),React,Remote Sensing,Power BI,Public Data,Rajasthan,5 months,Open Data Portal Intern
B.Sc Env,UI/UX,,Excel,Renewable Energy,Bihar,5 months,Energy Audit Intern
BCA,Data Analysis,,Embedded Systems,Automation & IoT,Maharashtra,4 months,Automation QA Intern
Diploma,Data Analysis,Python,UI/UX,Smart Education,Uttar Pradesh,6 months,Learning Platform Intern
B.Tech IT,GIS/QGIS,Power BI,Data Analysis,Smart Education,Odisha,5 months,Learning Platform Intern
B.Sc Env,Data Analysis,,UI/UX,Smart Education,Odisha,5 months,EdTech Data Intern
B.Tech CSE,Biostatistics,Remote Sensing,Excel,Healthcare,Delhi,4 months,Lab QA Intern
M.Tech,UI/UX,Remote Sensing,SQL,Public Data,Bihar,3 months,e-Gov Data Intern
BBA (Final Year),Remote Sensing,,Solar PV,Renewable Energy,Punjab,6 months,Energy Audit Intern
B.Tech IT,Data Analysis,Biostatistics,Embedded Systems,Automation & IoT,Punjab,3 months,IoT Intern
Diploma,UI/UX,,IoT Basics,Smart Agriculture,Kerala,6 months,Remote Sensing Intern
B.Sc,React,UI/UX,Embedded Systems,Automation & IoT,Tamil Nadu,5 months,IoT Intern
BBA (1st Year),IoT Basics,,Power BI,Public Data,Rajasthan,5 months,Open Data Portal Intern
M.Tech,APIs,Excel,UI/UX,Smart Education,Bihar,4 months,Learning Platform Intern
B.Com,GIS/QGIS,Energy Audit,Embedded Systems,Automation & IoT,Maharashtra,3 months,Automation QA Intern
B.Sc,Excel,APIs,,Healthcare,Delhi,4 months,Lab QA Intern
Diploma,React,Biostatistics,Embedded Systems,Automation & IoT,Haryana,6 months,Automation QA Intern
